Wall time,Step,Value
1611082256.821835,512700,-277.7418212890625
1611082354.6960182,514700,-284.7822570800781
1611082363.8350172,514900,-274.18304443359375
1611082394.892544,515500,-281.8451232910156
1611082524.3107834,518100,-284.5128479003906
1611082550.064708,518600,-282.26361083984375
1611082632.9552395,520300,-285.0921325683594
1611082722.637261,522100,-285.1583251953125
1611082760.3402665,522900,-269.612060546875
1611082869.2580423,525200,-282.76458740234375
1611082886.7018898,525600,-273.74798583984375
1611082904.149889,526000,-269.74835205078125
1611082911.8638864,526100,-271.62921142578125
1611083032.8066967,528700,-274.3609619140625
1611083141.9629097,531000,-275.3629150390625
1611083286.4830267,533900,-277.09686279296875
1611083339.0320556,535000,-279.74237060546875
1611083411.9941075,536600,-279.06787109375
1611083478.5988607,538000,-278.8789367675781
1611083485.2918553,538100,-281.7330017089844
1611083574.0188634,540100,-275.39794921875
1611083679.9778605,542500,-282.1609802246094
1611083762.5459394,544100,-271.2755126953125
1611083861.58522,546000,-280.44891357421875
1611083881.2152178,546300,-282.55078125
1611083903.2202182,546800,-276.6015625
1611084087.6902442,550500,-277.9281921386719
1611084127.6552496,551200,-273.42559814453125
1611084145.7442462,551600,-279.62420654296875
1611084184.4178765,552200,-278.3492431640625
1611084223.7898762,552800,-275.596923828125
1611084250.8121734,553300,-272.7801818847656
1611084263.9251702,553600,-271.37908935546875
1611084272.366206,553800,-273.389404296875
1611084389.8336132,556200,-283.4078674316406
1611084425.9446068,557000,-281.5943298339844
1611084515.497606,558700,-271.88995361328125
1611084539.7156084,559200,-275.33062744140625
1611084550.5516143,559400,-279.06658935546875
1611084608.2456117,560600,-281.5340881347656
1611084616.958609,560800,-282.02313232421875
1611084651.4646113,561400,-276.11846923828125
1611084717.6706069,562600,-278.5230712890625
1611084740.6486063,563100,-278.2840576171875
1611084786.2896056,564100,-271.703125
1611084829.3136072,565100,-269.5880126953125
1611084955.6616092,567900,-277.8023681640625
1611084966.387611,568100,-272.44171142578125
1611084983.5736098,568500,-265.44329833984375
1611085046.7276053,570000,-276.20166015625
1611085214.4356117,574100,-276.61065673828125
1611085225.972608,574400,-275.9508361816406
1611085298.2386055,576200,-277.736328125
1611085367.986607,578000,-280.6531982421875
1611085435.9386108,579700,-279.2643737792969
1611085447.1976085,580000,-280.6956787109375
1611085469.0416083,580500,-279.499755859375
1611085487.871607,581000,-275.73779296875
1611085559.9256132,582800,-275.9627380371094
